фраза_мутаген;частотность_мутаген;в_большом_датасете;частотность_датасета;статус
погрузчик вилочный;3972;вилочный погрузчик;4234;совпадает
вилочные погрузчики екатеринбург;425;екатеринбург вилочный погрузчик;7;сильно_разошлось
купить вилочный погрузчик;341;вилочный погрузчик купить;1080;совпадает
погрузчик вилочный тонна;236;погрузчик вилочный тонн;0;совпадает
водитель вилочного погрузчика;198;водитель вилочного погрузчика;201;совпадает
какой вилочный погрузчик;169;какой вилочный погрузчик;0;совпадает
вилочный погрузчик тойота;150;погрузчик вилочный тойота;90;совпадает
дизельный вилочный погрузчик;149;дизельный вилочный погрузчик;188;совпадает
вилочный погрузчик 5;144;погрузчик вилочный 5;10;сильно_разошлось
погрузчик электрический вилочный;117;вилочный погрузчик электрический;507;совпадает
аренда вилочного погрузчика;111;аренда вилочного погрузчика;270;совпадает
ремонт вилочного погрузчика;96;ремонт вилочного погрузчика;58;совпадает
погрузчик вилочный 5 тонн;93;вилочный погрузчик 5 тонн;138;совпадает
вилочные погрузчики купить екатеринбурге;92;вилочный погрузчик купить екатеринбург;15;сильно_разошлось
вилочный погрузчик jac;91;jac вилочный погрузчик;70;совпадает
вилочные погрузчики 3;89;вилочный погрузчик 3;2;сильно_разошлось
вилочный погрузчик б у;77;вилочные погрузчики б у;70;совпадает
вилочный погрузчик цена;76;погрузчик вилочный цена;65;совпадает
запчасти для вилочных погрузчиков;68;запчасти для вилочных погрузчиков;98;совпадает
вилочный погрузчик сколько;66;вилочный погрузчик сколько;0;совпадает
ремонт вилочных погрузчиков екатеринбург;63;ремонт погрузчиков екатеринбург вилочных;6;сильно_разошлось
вилочный погрузчик 3 тонны;59;вилочный погрузчик 3 тонны;172;совпадает
водитель вилочного погрузчика екатеринбург;59;водитель вилочный погрузчик екатеринбург;0;совпадает
погрузчик вилочный бу;57;погрузчик вилочный бу;126;совпадает
грузоподъемность вилочного погрузчика;55;грузоподъемность вилочного погрузчика;46;совпадает
замена вилочного погрузчика;54;;;новое
вилочный погрузчик ниссан;51;погрузчик вилочный ниссан;24;совпадает
погрузчик вилочный 1.5;50;вилочный погрузчик 1 5;3;сильно_разошлось
вилочный погрузчик 1;47;;;новое
вилочные погрузчики области;46;;;новое
вилочный погрузчик 7;45;вилочный погрузчик 7;1;сильно_разошлось
управление вилочным погрузчиком;45;управление вилочным погрузчиком;65;совпадает
вилочные погрузчики львовский;44;погрузчик вилочный львовский;50;совпадает
купить вилочный погрузчик б у;44;купить б у погрузчик вилочный;66;совпадает
вилочный погрузчик tcm;44;вилочный погрузчик tcm;39;совпадает
вилочные погрузчики 2;43;вилочный погрузчик 2;1;сильно_разошлось
рулевая вилочного погрузчика;40;вилочный погрузчик рулевой;0;совпадает
мост вилочного погрузчика;39;мост вилочного погрузчика;1;сильно_разошлось
кпп вилочного погрузчика;38;кпп вилочного погрузчика;0;совпадает
вилочный погрузчик trf;38;trf вилочный погрузчик;36;совпадает
погрузчик вилочный авито;36;авито вилочный погрузчик;71;совпадает
вилочные погрузчики 8;36;8 вилочный погрузчик;0;совпадает
вилочный погрузчик купить бу;36;вилочный погрузчик купить бу;252;сильно_разошлось
погрузка вилочными погрузчиками;35;;;новое
вилочный погрузчик тонны купить;35;вилочный погрузчик тонны купить;0;совпадает
вилочный погрузчик размеры;35;вилочный погрузчик размеры;38;совпадает
вилочный погрузчик liugong;34;liugong погрузчик вилочный;52;совпадает
вилочный погрузчик фото;34;вилочный погрузчик фото;179;сильно_разошлось
газовый вилочный погрузчик;33;газовый вилочный погрузчик;22;совпадает
погрузчик вилочный toyota;33;toyota вилочный погрузчик;36;совпадает
двигатель на вилочный погрузчик;31;двигатель на вилочный погрузчик;6;сильно_разошлось
вилочный погрузчик тонны дизельный;31;вилочный погрузчик тонны дизельный;0;совпадает
модель вилочного погрузчика;31;модель вилочного погрузчика;7;совпадает
вилочный погрузчик характеристики;30;характеристики вилочный погрузчик;15;совпадает
коробка вилочного погрузчика;30;вилочный погрузчик коробка;0;совпадает
вилочные погрузчики оборудование;29;погрузчик вилочный оборудование;0;совпадает
вилочный погрузчик heli;29;heli вилочный погрузчик;76;совпадает
отзывы вилочных погрузчиков;29;отзывы вилочных погрузчиков;0;совпадает
мачта вилочного погрузчика;29;мачта вилочного погрузчика;36;совпадает
куплю погрузчик львовский вилочный;28;куплю львовский вилочный погрузчик;0;совпадает
вилочный погрузчик типы;27;типы вилочного погрузчика;1;сильно_разошлось
дизельный вилочный погрузчик купить;27;вилочный погрузчик дизельный купить;65;совпадает
вилочный погрузчик 5т;27;погрузчик вилочный 5т;14;совпадает
запчасти для вилочного погрузчика тойота;26;запчасти для погрузчика тойота вилочного;24;совпадает
запчасти для погрузчиков вилочных тойота в екатеринбурге;26;;;новое
вилочный погрузчик где;26;вилочный погрузчик где;0;совпадает
вилочный погрузчик 7 тонн;26;вилочный погрузчик 7 тонн;39;совпадает
шины на вилочный погрузчик;25;шины на вилочный погрузчик;19;совпадает
колесо для вилочного погрузчика;25;колеса для вилочного погрузчика;12;совпадает
вилочные погрузчики хендай;25;вилочный погрузчик хендай;38;совпадает
боковой вилочный погрузчик;25;боковой вилочный погрузчик;44;совпадает
сиденье вилочного погрузчика;24;вилочный погрузчик сиденье;3;сильно_разошлось
вилочный погрузчик hangcha;24;hangcha вилочный погрузчик;59;совпадает
погрузчик вилочный 2 тонны;23;погрузчик вилочный 2 тонны;29;совпадает
запчасти вилочный погрузчик купить;23;запчасти вилочный погрузчик купить;12;совпадает
китайский вилочный погрузчик;23;вилочный погрузчик китайский;38;совпадает
вилочный погрузчик 15 15;23;;;новое
вилочный погрузчик 5 т;23;вилочный погрузчик 5 т;5;совпадает
аренда вилочного погрузчика в екатеринбурге;23;аренда вилочного погрузчика в екатеринбурге;4;сильно_разошлось
акпп вилочного погрузчика;22;акпп погрузчика вилочного;3;сильно_разошлось
вилочный погрузчик cpcd;22;cpcd вилочный погрузчик;9;совпадает
вилочный погрузчик тсм;22;тсм погрузчик вилочный;36;совпадает
вилочный погрузчик lonking;22;погрузчик вилочный lonking;47;совпадает
погрузчик вилочный датчик;22;;;новое
вилочные погрузчики москва;21;погрузчики вилочные москва;13;совпадает
разгрузка вилочным погрузчиком;21;разгрузка вилочным погрузчиком;0;совпадает
на вилочный погрузчик нужны права;21;на вилочный погрузчик нужны права;1;сильно_разошлось
полноприводный вилочный погрузчик;21;полноприводный вилочный погрузчик;63;совпадает
вилочные погрузчики ханча;20;ханча погрузчик вилочный;47;совпадает
вилочный погрузчик komatsu;20;погрузчик вилочный komatsu;60;совпадает
виды вилочных погрузчиков;20;виды вилочных погрузчиков;10;совпадает
масло в вилочный погрузчик тойота;20;масло в вилочный погрузчик тойота;0;совпадает
вилочный погрузчик устройство;20;устройство вилочного погрузчика;50;совпадает
jac cpcd вилочный погрузчик;20;вилочный погрузчик jac cpcd;3;сильно_разошлось
завод вилочного погрузчика;20;вилочный погрузчик завод;0;совпадает
вахта вилочный погрузчик;20;вахта погрузчик вилочный;17;совпадает
погрузчик вилочный 10;20;;;новое
погрузчик вилочный 3т;20;вилочный погрузчик 3т;22;совпадает
какое масло заливать в вилочный погрузчик;20;какое масло заливать в погрузчик вилочный;0;совпадает
механизм вилочного погрузчика;20;вилочный погрузчик механизм;0;совпадает
вилочный погрузчик эксплуатация;19;вилочный погрузчик эксплуатация;0;совпадает
вилочный погрузчик 1 тонна;19;вилочный погрузчик 1 тонна;10;совпадает
вилочный погрузчик hyundai;19;вилочный погрузчик hyundai;12;совпадает
вилочный погрузчик лев;19;вилочный погрузчик лев;2;сильно_разошлось
вилочный погрузчик 5 тонны купить;19;погрузчик вилочный 5 тонн купить;280;сильно_разошлось
вилочный погрузчик митсубиси;19;вилочный погрузчик митсубиси;16;совпадает
водитель вилочного погрузчика вахта;19;вахта водитель вилочного погрузчика;31;совпадает
ковш на вилочный погрузчик;18;ковш на вилочный погрузчик;72;совпадает
купить б у шины вилочного погрузчика;18;;;новое
шины вилочный погрузчик купить;18;купить вилочный погрузчик шины;0;совпадает
погрузка разгрузка вилочным погрузчикам;18;погрузка разгрузка вилочным погрузчиком;0;совпадает
цилиндр вилочного погрузчика;18;цилиндр вилочного погрузчика;2;сильно_разошлось
купить колеса для вилочного погрузчика;18;колесо для вилочного погрузчика купить;1;сильно_разошлось
погрузчик вилочный дизель;18;вилочный дизель погрузчик;4;совпадает
вилочный погрузчик джак;18;джак погрузчик вилочный;44;совпадает
львовский вилочный погрузчик 5т;18;львовский вилочный погрузчик 5т;10;совпадает
вилочный погрузчик 5 тонн дизельный;18;погрузчик вилочный дизельный 5 тонн;33;совпадает
вилочный погрузчик коматсу;18;вилочный погрузчик коматсу;58;совпадает
чехол на погрузчик вилочный;18;чехол на вилочный погрузчик;21;совпадает
каретка вилочного погрузчика;17;каретка вилочного погрузчика;27;совпадает
погрузчик вилочный 3 5;17;вилочный погрузчик 3 5;9;совпадает
бензин вилочный погрузчик;17;вилочный погрузчик бензин;7;совпадает
вилочный погрузчик мзик;17;погрузчик мзик вилочный;4;совпадает
система погрузчика вилочного;17;системы вилочного погрузчика;0;совпадает
карбюратор вилочного погрузчика;17;вилочный погрузчик карбюратор;0;совпадает
бензиновый вилочный погрузчик;17;погрузчик бензиновый вилочный;59;совпадает
вилочный погрузчик весит;16;вилочный погрузчик весит;0;совпадает
сколько весит погрузчик вилочный;16;сколько весит погрузчик вилочный;73;совпадает
высота вилочного погрузчика;16;высота погрузчика вилочного;25;совпадает
технические характеристики вилочных погрузчиков;16;технические характеристики вилочных погрузчиков;0;совпадает
расход вилочного погрузчика;16;вилочный погрузчик расход;0;совпадает
генератор вилочного погрузчика;16;генератор вилочного погрузчика;0;совпадает
крепление на вилочный погрузчик;16;крепления на вилочные погрузчики;0;совпадает
сколько стоит погрузчик вилочный;16;сколько стоит погрузчик вилочный;24;совпадает
вилочный погрузчик cpcd50;16;погрузчик вилочный cpcd50;7;совпадает
вилочный погрузчик тормозная колодка;16;колодки тормозные вилочный погрузчик;1;сильно_разошлось
вилочный погрузчик руководство по эксплуатации;16;руководство по эксплуатации вилочного погрузчика;5;совпадает
руководство погрузчик вилочный;16;вилочный погрузчик руководство;2;сильно_разошлось
вилочные погрузчики цена купить;16;погрузчик купить вилочный цена;3;сильно_разошлось
вилочный погрузчик биг бэг;16;;;новое
новые вилочные погрузчики;16;вилочные новые погрузчики;1;сильно_разошлось
погрузчик аккумуляторный вилочный;15;аккумуляторный погрузчик вилочный;35;совпадает
купить вилочный погрузчик 5т;15;погрузчик вилочный 5т купить;3;совпадает
погрузчик вилочный 1.5 тонн;15;вилочный погрузчик 1 5 тонны;9;совпадает
